atraccion_1,atraccion_2,metros
Kiddie Dragons,Laberinto Blacksmith,
Kiddie Dragons,Los Potrillos,
Kiddie Dragons,Magic Fish,
Kiddie Dragons,Makamanu Summit,
Kiddie Dragons,Makamanu Trail,
Kiddie Dragons,Mariposas Saltarinas,
Kiddie Dragons,Penitence Station,
Kiddie Dragons,Serpiente Emplumada,
Kiddie Dragons,Shambhala,
Kiddie Dragons,Silver River Flume,
Kiddie Dragons,Stampida,
Kiddie Dragons,Street Mission,
Kiddie Dragons,SésamoAventura Station,
Kiddie Dragons,Tami - Tami,
Kiddie Dragons,Tea Cups,
Kiddie Dragons,Templo del Fuego,
Kiddie Dragons,Tomahawk,
Kiddie Dragons,Tutuki Splash,
Kiddie Dragons,ULUM: El despertar jurásico,
Kiddie Dragons,Uncharted,
Kiddie Dragons,VolPaiute,
Kiddie Dragons,Waikiki,
Kiddie Dragons,Wild Buffalos,
Kiddie Dragons,Yucatán,
Kiddie Kities,Kontiki,
Kiddie Kities,La Granja de Elmo,
Kiddie Kities,Laberinto Blacksmith,
Kiddie Kities,Los Potrillos,
Kiddie Kities,Magic Fish,
Kiddie Kities,Makamanu Summit,
Kiddie Kities,Makamanu Trail,
Kiddie Kities,Mariposas Saltarinas,
Kiddie Kities,Penitence Station,
Kiddie Kities,Serpiente Emplumada,
Kiddie Kities,Shambhala,
Kiddie Kities,Silver River Flume,
Kiddie Kities,Stampida,
Kiddie Kities,Street Mission,
Kiddie Kities,SésamoAventura Station,
Kiddie Kities,Tami - Tami,
Kiddie Kities,Tea Cups,
Kiddie Kities,Templo del Fuego,
Kiddie Kities,Tomahawk,
Kiddie Kities,Tutuki Splash,
Kiddie Kities,ULUM: El despertar jurásico,
Kiddie Kities,Uncharted,
Kiddie Kities,VolPaiute,
Kiddie Kities,Waikiki,
Kiddie Kities,Wild Buffalos,
Kiddie Kities,Yucatán,
Kontiki,La Granja de Elmo,
Kontiki,Laberinto Blacksmith,
Kontiki,Los Potrillos,
Kontiki,Magic Fish,
Kontiki,Makamanu Summit,
Kontiki,Makamanu Trail,
Kontiki,Mariposas Saltarinas,
Kontiki,Penitence Station,
Kontiki,Serpiente Emplumada,
Kontiki,Shambhala,
Kontiki,Silver River Flume,
Kontiki,Stampida,
Kontiki,Street Mission,
Kontiki,SésamoAventura Station,
Kontiki,Tami - Tami,
Kontiki,Tea Cups,
Kontiki,Templo del Fuego,
Kontiki,Tomahawk,
Kontiki,Tutuki Splash,
Kontiki,ULUM: El despertar jurásico,
Kontiki,Uncharted,
Kontiki,VolPaiute,
Kontiki,Waikiki,
Kontiki,Wild Buffalos,
Kontiki,Yucatán,
La Granja de Elmo,Laberinto Blacksmith,
La Granja de Elmo,Los Potrillos,
La Granja de Elmo,Magic Fish,
La Granja de Elmo,Makamanu Summit,
La Granja de Elmo,Makamanu Trail,
La Granja de Elmo,Mariposas Saltarinas,
La Granja de Elmo,Penitence Station,
La Granja de Elmo,Serpiente Emplumada,
La Granja de Elmo,Shambhala,
La Granja de Elmo,Silver River Flume,
La Granja de Elmo,Stampida,
La Granja de Elmo,Street Mission,
La Granja de Elmo,SésamoAventura Station,
La Granja de Elmo,Tami - Tami,
La Granja de Elmo,Tea Cups,
La Granja de Elmo,Templo del Fuego,
La Granja de Elmo,Tomahawk,
La Granja de Elmo,Tutuki Splash,
La Granja de Elmo,ULUM: El despertar jurásico,
La Granja de Elmo,Uncharted,
La Granja de Elmo,VolPaiute,
La Granja de Elmo,Waikiki,
La Granja de Elmo,Wild Buffalos,
La Granja de Elmo,Yucatán,
Laberinto Blacksmith,Los Potrillos,
Laberinto Blacksmith,Magic Fish,
Laberinto Blacksmith,Makamanu Summit,
Laberinto Blacksmith,Makamanu Trail,
Laberinto Blacksmith,Mariposas Saltarinas,
Laberinto Blacksmith,Penitence Station,
Laberinto Blacksmith,Serpiente Emplumada,
Laberinto Blacksmith,Shambhala,
Laberinto Blacksmith,Silver River Flume,
Laberinto Blacksmith,Stampida,
Laberinto Blacksmith,Street Mission,
Laberinto Blacksmith,SésamoAventura Station,
Laberinto Blacksmith,Tami - Tami,
Laberinto Blacksmith,Tea Cups,
Laberinto Blacksmith,Templo del Fuego,
Laberinto Blacksmith,Tomahawk,
Laberinto Blacksmith,Tutuki Splash,
Laberinto Blacksmith,ULUM: El despertar jurásico,
Laberinto Blacksmith,Uncharted,
Laberinto Blacksmith,VolPaiute,
Laberinto Blacksmith,Waikiki,
Laberinto Blacksmith,Wild Buffalos,
Laberinto Blacksmith,Yucatán,
Los Potrillos,Magic Fish,
Los Potrillos,Makamanu Summit,
Los Potrillos,Makamanu Trail,
Los Potrillos,Mariposas Saltarinas,
Los Potrillos,Penitence Station,
Los Potrillos,Serpiente Emplumada,
Los Potrillos,Shambhala,
Los Potrillos,Silver River Flume,
Los Potrillos,Stampida,
Los Potrillos,Street Mission,
Los Potrillos,SésamoAventura Station,
Los Potrillos,Tami - Tami,
Los Potrillos,Tea Cups,
Los Potrillos,Templo del Fuego,
Los Potrillos,Tomahawk,
Los Potrillos,Tutuki Splash,
Los Potrillos,ULUM: El despertar jurásico,
Los Potrillos,Uncharted,
Los Potrillos,VolPaiute,
Los Potrillos,Waikiki,
Los Potrillos,Wild Buffalos,
Los Potrillos,Yucatán,
Magic Fish,Makamanu Summit,
Magic Fish,Makamanu Trail,
Magic Fish,Mariposas Saltarinas,
Magic Fish,Penitence Station,
Magic Fish,Serpiente Emplumada,
Magic Fish,Shambhala,
Magic Fish,Silver River Flume,
Magic Fish,Stampida,
Magic Fish,Street Mission,
Magic Fish,SésamoAventura Station,
Magic Fish,Tami - Tami,
Magic Fish,Tea Cups,
Magic Fish,Templo del Fuego,
Magic Fish,Tomahawk,
Magic Fish,Tutuki Splash,
Magic Fish,ULUM: El despertar jurásico,
Magic Fish,Uncharted,
Magic Fish,VolPaiute,
Magic Fish,Waikiki,
Magic Fish,Wild Buffalos,
Magic Fish,Yucatán,
Makamanu Summit,Makamanu Trail,
Makamanu Summit,Mariposas Saltarinas,
Makamanu Summit,Penitence Station,
Makamanu Summit,Serpiente Emplumada,
Makamanu Summit,Shambhala,
Makamanu Summit,Silver River Flume,
Makamanu Summit,Stampida,
Makamanu Summit,Street Mission,
Makamanu Summit,SésamoAventura Station,
Makamanu Summit,Tami - Tami,
Makamanu Summit,Tea Cups,
Makamanu Summit,Templo del Fuego,
Makamanu Summit,Tomahawk,
Makamanu Summit,Tutuki Splash,
Makamanu Summit,ULUM: El despertar jurásico,
Makamanu Summit,Uncharted,
Makamanu Summit,VolPaiute,
Makamanu Summit,Waikiki,
Makamanu Summit,Wild Buffalos,
Makamanu Summit,Yucatán,
Makamanu Trail,Mariposas Saltarinas,
Makamanu Trail,Penitence Station,
Makamanu Trail,Serpiente Emplumada,
Makamanu Trail,Shambhala,
Makamanu Trail,Silver River Flume,
Makamanu Trail,Stampida,
Makamanu Trail,Street Mission,
Makamanu Trail,SésamoAventura Station,
Makamanu Trail,Tami - Tami,
Makamanu Trail,Tea Cups,
Makamanu Trail,Templo del Fuego,
Makamanu Trail,Tomahawk,
Makamanu Trail,Tutuki Splash,
Makamanu Trail,ULUM: El despertar jurásico,
Makamanu Trail,Uncharted,
Makamanu Trail,VolPaiute,
Makamanu Trail,Waikiki,
Makamanu Trail,Wild Buffalos,
Makamanu Trail,Yucatán,
Mariposas Saltarinas,Penitence Station,
Mariposas Saltarinas,Serpiente Emplumada,
Mariposas Saltarinas,Shambhala,
Mariposas Saltarinas,Silver River Flume,
Mariposas Saltarinas,Stampida,
Mariposas Saltarinas,Street Mission,
Mariposas Saltarinas,SésamoAventura Station,
Mariposas Saltarinas,Tami - Tami,
Mariposas Saltarinas,Tea Cups,
Mariposas Saltarinas,Templo del Fuego,
Mariposas Saltarinas,Tomahawk,
Mariposas Saltarinas,Tutuki Splash,
Mariposas Saltarinas,ULUM: El despertar jurásico,
Mariposas Saltarinas,Uncharted,
Mariposas Saltarinas,VolPaiute,
Mariposas Saltarinas,Waikiki,
Mariposas Saltarinas,Wild Buffalos,
Mariposas Saltarinas,Yucatán,
Penitence Station,Serpiente Emplumada,
Penitence Station,Shambhala,
Penitence Station,Silver River Flume,
Penitence Station,Stampida,
Penitence Station,Street Mission,
Penitence Station,SésamoAventura Station,
Penitence Station,Tami - Tami,
Penitence Station,Tea Cups,
Penitence Station,Templo del Fuego,
Penitence Station,Tomahawk,
Penitence Station,Tutuki Splash,
Penitence Station,ULUM: El despertar jurásico,
Penitence Station,Uncharted,
Penitence Station,VolPaiute,
Penitence Station,Waikiki,
Penitence Station,Wild Buffalos,
Penitence Station,Yucatán,
Serpiente Emplumada,Shambhala,
Serpiente Emplumada,Silver River Flume,
Serpiente Emplumada,Stampida,
Serpiente Emplumada,Street Mission,
Serpiente Emplumada,SésamoAventura Station,
Serpiente Emplumada,Tami - Tami,
Serpiente Emplumada,Tea Cups,
Serpiente Emplumada,Templo del Fuego,
Serpiente Emplumada,Tomahawk,
Serpiente Emplumada,Tutuki Splash,
Serpiente Emplumada,ULUM: El despertar jurásico,
Serpiente Emplumada,Uncharted,
Serpiente Emplumada,VolPaiute,
Serpiente Emplumada,Waikiki,
Serpiente Emplumada,Wild Buffalos,
Serpiente Emplumada,Yucatán,
Shambhala,Silver River Flume,
Shambhala,Stampida,
Shambhala,Street Mission,
Shambhala,SésamoAventura Station,
Shambhala,Tami - Tami,
Shambhala,Tea Cups,
Shambhala,Templo del Fuego,
Shambhala,Tomahawk,
Shambhala,Tutuki Splash,
Shambhala,ULUM: El despertar jurásico,
Shambhala,Uncharted,
Shambhala,VolPaiute,
Shambhala,Waikiki,
Shambhala,Wild Buffalos,
Shambhala,Yucatán,
Silver River Flume,Stampida,
Silver River Flume,Street Mission,
Silver River Flume,SésamoAventura Station,
Silver River Flume,Tami - Tami,
Silver River Flume,Tea Cups,
Silver River Flume,Templo del Fuego,
Silver River Flume,Tomahawk,
Silver River Flume,Tutuki Splash,
Silver River Flume,ULUM: El despertar jurásico,
Silver River Flume,Uncharted,
Silver River Flume,VolPaiute,
Silver River Flume,Waikiki,
Silver River Flume,Wild Buffalos,
Silver River Flume,Yucatán,
Stampida,Street Mission,
Stampida,SésamoAventura Station,
Stampida,Tami - Tami,
Stampida,Tea Cups,
Stampida,Templo del Fuego,
Stampida,Tomahawk,
Stampida,Tutuki Splash,
Stampida,ULUM: El despertar jurásico,
Stampida,Uncharted,
Stampida,VolPaiute,
Stampida,Waikiki,
Stampida,Wild Buffalos,
Stampida,Yucatán,
Street Mission,SésamoAventura Station,
Street Mission,Tami - Tami,
Street Mission,Tea Cups,
Street Mission,Templo del Fuego,
Street Mission,Tomahawk,
Street Mission,Tutuki Splash,
Street Mission,ULUM: El despertar jurásico,
Street Mission,Uncharted,
Street Mission,VolPaiute,
Street Mission,Waikiki,
Street Mission,Wild Buffalos,
Street Mission,Yucatán,
SésamoAventura Station,Tami - Tami,
SésamoAventura Station,Tea Cups,
SésamoAventura Station,Templo del Fuego,
SésamoAventura Station,Tomahawk,
SésamoAventura Station,Tutuki Splash,
SésamoAventura Station,ULUM: El despertar jurásico,
SésamoAventura Station,Uncharted,
SésamoAventura Station,VolPaiute,
SésamoAventura Station,Waikiki,
SésamoAventura Station,Wild Buffalos,
SésamoAventura Station,Yucatán,
Tami - Tami,Tea Cups,
Tami - Tami,Templo del Fuego,
Tami - Tami,Tomahawk,
Tami - Tami,Tutuki Splash,
Tami - Tami,ULUM: El despertar jurásico,
Tami - Tami,Uncharted,
Tami - Tami,VolPaiute,
Tami - Tami,Waikiki,
Tami - Tami,Wild Buffalos,
Tami - Tami,Yucatán,
Tea Cups,Templo del Fuego,
Tea Cups,Tomahawk,
Tea Cups,Tutuki Splash,
Tea Cups,ULUM: El despertar jurásico,
Tea Cups,Uncharted,
Tea Cups,VolPaiute,
Tea Cups,Waikiki,
Tea Cups,Wild Buffalos,
Tea Cups,Yucatán,
Templo del Fuego,Tomahawk,
Templo del Fuego,Tutuki Splash,
Templo del Fuego,ULUM: El despertar jurásico,
Templo del Fuego,Uncharted,
Templo del Fuego,VolPaiute,
Templo del Fuego,Waikiki,
Templo del Fuego,Wild Buffalos,
Templo del Fuego,Yucatán,
Tomahawk,Tutuki Splash,
Tomahawk,ULUM: El despertar jurásico,
Tomahawk,Uncharted,
Tomahawk,VolPaiute,
Tomahawk,Waikiki,
Tomahawk,Wild Buffalos,
Tomahawk,Yucatán,
Tutuki Splash,ULUM: El despertar jurásico,
Tutuki Splash,Uncharted,
Tutuki Splash,VolPaiute,
Tutuki Splash,Waikiki,
Tutuki Splash,Wild Buffalos,
Tutuki Splash,Yucatán,
ULUM: El despertar jurásico,Uncharted,
ULUM: El despertar jurásico,VolPaiute,
ULUM: El despertar jurásico,Waikiki,
ULUM: El despertar jurásico,Wild Buffalos,
ULUM: El despertar jurásico,Yucatán,
Uncharted,VolPaiute,
Uncharted,Waikiki,
Uncharted,Wild Buffalos,
Uncharted,Yucatán,
VolPaiute,Waikiki,
VolPaiute,Wild Buffalos,
VolPaiute,Yucatán,
Waikiki,Wild Buffalos,
Waikiki,Yucatán,
Wild Buffalos,Yucatán,
